incident_name,incident_created_year,incident_created_month,incident_created_day,incident_created_hour,incident_created_minute,incident_acres_burned,incident_longitude,incident_latitude,incident_extinguished_year,incident_extinguished_month,incident_extinguished_day,incident_extinguished_hour,incident_extinguished_minute
Heacock Fire,2013,07,19,16,21,40,-117.2508,33.9634,2013,07,20,19,30
Gilman Fire,2013,07,19,17,31,15,-117.09306,33.94528,2013,07,19,19,30
Chuckwagon Fire,2013,07,22,12,34,31,-120.696362,37.965364,2013,07,23,15,10
Aspen Fire,2013,07,22,22,15,22992,-119.318,37.279,2013,09,24,20,15
Water Fire,2013,07,23,09,15,612,-118.93388,34.90327,2013,07,25,18,30
Pratt Fire,2013,07,23,13,29,45,-123.067671,38.980846,2013,07,23,16,00
Silverwood Fire,2013,07,25,15,09,75,-117.352,34.316,2013,07,26,18,15
Lakeville Fire,2013,07,26,13,45,158,-122.51253,38.17693,2013,07,26,17,45
Flume Fire,2013,07,28,09,43,25,-116.707335,32.612773,2013,07,28,17,50
Salmon River Complex,2013,07,31,22,00,14754,-123.176,41.32,2013,08,31,06,45
Branch Fire,2013,08,01,16,01,92,-121.50354,39.6612,2013,08,04,14,45
Orleans Complex,2013,08,03,08,00,0,-123.376,41.333,2013,08,03,15,00
Relay Fire,2013,08,04,16,29,60,-116.99895,33.91027,2013,08,04,18,00
Power Fire,2013,08,05,06,00,1070,-120.02778,38.25108,2013,08,14,08,30
Falls Fire,2013,08,05,10,10,1383,-117.40288,33.62236,2013,08,09,18,45
Tram Fire,2013,08,06,13,39,60,-116.61,38.838,2013,08,08,09,00
Indian Fire,2013,08,07,12,35,38,-122.5906,39.1591,2013,08,07,18,30
Silver Fire,2013,08,07,14,05,20292,-116.90427,33.86157,2013,08,12,18,00
Sharp Fire,2013,08,08,12,15,243,-117.62,34.35,2013,08,13,23,45
Coyote Fire,2013,08,09,15,51,97,-120.958126,40.88886,2013,08,12,09,30
Corral Complex,2013,08,10,11,40,12503,-123.488,41.035,2013,08,12,12,00
American Fire,2013,08,10,16,30,27440,-120.65,39.12,2013,08,30,08,00
Cloverdale Fire,2013,08,14,15,37,27,-122.48259,40.473356,2013,08,14,20,35
Cottonwood Fire,2013,08,15,14,40,50,-122.578393,41.923323,2013,08,15,17,00
Pierce Fire,2013,08,16,13,31,40,-116.10815,33.570291,2013,08,16,21,00
Union Fire,2013,08,16,13,55,116,-120.839075,38.682378,2013,08,16,17,55
Swedes Fire,2013,08,16,16,37,2264,-121.38236,39.446268,2013,08,22,18,00
Double Fire,2013,08,16,17,57,70,-122.491894,39.013682,2013,08,18,18,30
Bridges Fire,2013,08,17,10,11,46,-120.45233,38.06231,2013,08,19,07,10
Rim Fire,2013,08,17,15,25,257314,-120.086,37.857,2013,09,06,18,30
Cleghorn Fire,2013,08,17,17,25,110,-117.451,34.287,2013,08,18,20,55
Plumas Lightning Complex (Hough),2013,08,18,18,30,513,-120.764666,40.00842,2013,08,25,13,15
Shirley Fire,2013,08,18,23,12,794,-118.588,35.707,2013,08,24,13,45
Burney Lightning Series (Warner Fire),2013,08,19,17,48,196,-121.3754,40.5445,2013,08,23,19,15
Gobblers Fire,2013,08,20,13,32,413,-117.598,34.302,2013,08,20,13,32
Deer Fire,2013,08,23,14,15,11429,-121.85397,40.04263,2013,08,29,16,45
Fish Fire,2013,08,24,14,31,2060,-118.444,36.208,2013,09,24,20,15
Empire Fire,2013,08,24,14,54,38,-120.84716,38.89555,2013,08,24,11,45
Little Fire,2013,08,24,15,09,97,-116.706,33.642,2013,08,30,08,00
Tyler Fire,2013,08,31,14,42,52,-121.107022,39.333401,2013,08,31,21,30
Centerville Fire,2013,08,31,17,23,80,-121.713938,39.731878,2013,09,01,18,00
Davis Creek Complex,2013,09,05,15,57,97,-120.375,41.73325,2013,09,24,20,15
Chestnut Fire,2013,09,07,13,55,41,-122.427285,37.667295,2013,09,07,20,00
Rail Fire,2013,09,07,17,30,68,-120.959,41.569,2013,09,05,21,00
Angora Fire,2013,09,08,11,53,134,-118.459,36.258,2013,09,24,20,15
Morgan Fire,2013,09,08,13,08,3111,-121.882582,37.90757,2013,09,14,17,30
Clover Fire,2013,09,09,12,32,8073,-122.535496,40.498332,2013,09,15,07,30
Lyon Fire,2013,09,09,13,09,263,-116.746023,32.710918,2013,09,12,18,15
Liveoak Fire,2013,09,11,16,57,73,-117.106075,34.003151,2013,09,12,08,45
Lakeshore Fire,2013,09,15,19,45,30,-122.683,38.9777,2013,09,15,17,14
Madre Fire,2013,09,23,18,00,268,-117.908,34.149,2013,09,28,08,00
Creek Fire,2013,09,24,03,20,94,-120.8358,35.4393,2013,09,24,17,30
Sierra Fire,2013,09,24,15,51,200,-117.417,34.2,2013,09,30,08,30
Highland Fire,2013,09,28,13,57,98,-122.966,38.9252,2013,09,29,18,15
Putah Fire,2013,10,03,20,33,376,-122.289,38.628,2013,10,04,16,55
Crane Fire,2013,10,04,12,25,159,-122.6503,38.34599,2013,10,05,07,45
Summit Fire,2013,10,04,17,37,305,-121.497,39.439,2013,10,05,22,00
DeLuz Fire,2013,10,05,12,45,2236,-117.3092,33.341,2013,10,09,19,00
Baker Fire,2013,10,06,10,52,40,-117.6649,33.7655,2013,10,09,08,00
Capay Fire,2013,11,04,11,41,163,-122.08725,38.67479,2013,11,04,15,35
Dersch Fire,2013,11,07,16,10,33,-122.140914,40.483662,2013,11,07,19,45
Toro Fire,2013,11,08,10,30,51,-120.751555,35.457978,2013,11,09,17,00
Cantwell Fire,2013,11,08,13,42,120,-122.567525,38.882214,2013,11,10,18,30
Wheeler Fire,2013,11,14,11,05,64,-119.13249,34.384,2013,11,15,16,00
Silverado Fire,2013,11,21,21,39,190,-122.311,38.382,2013,11,23,18,30
McCabe Fire,2013,11,22,02,04,3505,-122.8498,38.8167,2013,11,27,18,15
Retek Fire,2013,11,22,10,06,82,-123.1478,39.0442,2013,11,22,17,30
Bruner Fire,2013,11,23,12,04,50,-122.7656,39.0448,2013,11,24,08,45
Dam Fire,2013,11,23,14,17,23,-122.5818,38.9289,2013,11,24,18,45
Grant Fire,2013,12,31,05,30,40,-121.717706,37.342186,2013,12,31,16,00
Campbell Fire,2014,01,02,20,00,865,-121.790183,40.134597,2014,01,10,18,30
Red Fire,2014,01,04,12,00,333,-123.773779,40.884415,2014,01,08,19,15
Colby Fire,2014,01,16,05,50,1952,-117.8816,34.1703,2014,01,27,10,00
Lake Fire,2014,01,25,06,37,106,-119.3415,36.8266,2014,01,26,18,00
Gun Fire,2014,03,08,12,30,125,-116.49,32.81,2014,03,11,11,00
Encinal Fire,2014,03,19,16,45,400,-121.4819,36.6313,2014,03,21,18,00
Van Buren Fire,2014,03,28,14,31,57,-116.1985,33.5982,2014,03,29,17,15
Bridges Fire,2014,04,19,15,54,113,-118.352,37.399,2014,04,21,19,15
Etiwanda Fire,2014,04,30,08,00,2143,-117.547374,34.169346,2014,05,05,17,30
San Lucas Fire,2014,04,30,14,25,75,-121.117,36.103,2014,05,01,19,00
Jacumba Fire,2014,05,05,16,36,29,-116.222,32.665,2014,05,06,10,20
Bernardo Fire,2014,05,13,11,00,1548,-117.133,33.003,2014,05,17,20,14
Miguelito Fire,2014,05,13,14,00,632,-120.454,34.609,2014,05,19,09,20
Tomahawk Fire,2014,05,14,09,45,5367,-117.284889,33.3529,2014,05,19,09,20
Poinsettia Fire,2014,05,14,10,30,600,-117.279,33.1109,2014,05,17,00,00
Highway Fire,2014,05,14,13,00,380,-117.162,33.312,2014,05,15,18,30
Fiddler Fire,2014,05,14,14,00,50,-122.721,40.39,2014,05,15,11,30
Cocos Fire,2014,05,14,16,00,1995,-117.1599,33.1137,2014,05,22,18,15
San Mateo Fire,2014,05,16,11,24,1457,-117.550567,33.417572,2014,05,20,23,30
Indian Fire,2014,05,25,12,20,175,-122.5983,39.1647,2014,05,26,08,45
59 Fire,2014,06,04,11,45,402,-120.45087,37.76617,2014,06,05,20,00
Hetch Hetchy Fire,2014,06,05,13,04,269,-120.452,37.787,2014,06,06,09,30
Morgan Fire,2014,06,09,15,15,40,-119.525506,36.991825,2014,06,11,07,30
Haigh Fire,2014,06,10,15,11,130,-120.197,37.7103,2014,06,13,18,30
