US1CARV0018,33.9543,-117.0120,771.8
US1CARV0019,33.9793,-117.4541,256.3
US1CARV0038,33.9406,-117.2964,468.2
US1CASA0001,38.6173,-121.3404,31.1
US1CASA0002,38.6350,-121.3611,29.0
US1CASA0005,38.6429,-121.3059,39.6
US1CASA0006,38.6375,-121.3446,33.2
US1CASA0007,38.6600,-121.1395,110.3
US1CASA0008,38.6211,-121.3189,32.9
US1CASA0012,38.5499,-121.4374,10.4
US1CASA0029,38.6823,-121.1375,121.6
US1CASA0030,38.5753,-121.3400,19.5
US1CASA0031,38.6754,-121.1556,102.1
US1CASA0035,38.5804,-121.2812,31.7
US1CASB0001,34.4397,-119.8961,48.2
US1CASC0003,37.3647,-122.0042,25.9
US1CASC0004,37.3050,-121.7750,68.0
US1CASC0005,37.2324,-121.9902,142.3
US1CASC0010,37.2714,-121.8765,49.4
US1CASC0015,37.2748,-122.0227,113.7
US1CASC0032,37.3185,-121.9608,42.4
US1CASC0040,37.1560,-121.9875,506.6
US1CASC0041,37.3865,-122.1355,59.1
US1CASC0042,37.3344,-122.0180,51.8
US1CASC0045,37.1168,-121.6591,132.0
US1CASC0048,37.1864,-121.5462,799.8
US1CASD0001,33.1472,-117.1316,203.0
US1CASD0006,32.8112,-116.9254,185.9
US1CASD0007,33.0499,-117.2368,58.8
US1CASD0009,32.7907,-116.9870,221.6
US1CASD0010,33.1055,-117.0482,210.3
US1CASD0011,33.0757,-117.2920,57.3
US1CASD0012,32.9956,-117.0044,367.6
US1CASD0018,32.6381,-116.9753,169.2
US1CASD0022,32.9491,-117.0588,135.3
US1CASD0023,33.0267,-117.2712,81.1
US1CASD0024,32.6168,-117.0519,81.1
US1CASD0027,32.7465,-117.1098,104.9
US1CASD0029,32.8057,-117.0732,73.8
US1CASD0030,32.8257,-117.2501,149.7
US1CASD0035,33.0184,-117.0666,147.2
US1CASD0040,32.7698,-116.9593,224.9
US1CASD0047,32.6044,-117.0508,61.0
US1CASD0049,32.8168,-117.0586,89.0
US1CASD0051,32.9058,-116.6255,999.1
US1CASD0052,33.0261,-117.0466,225.2
US1CASD0053,33.0158,-116.8068,449.3
US1CASD0054,32.8538,-116.6212,1049.1
US1CASD0055,32.7348,-117.2447,76.5
US1CASD0057,33.1862,-117.2311,153.9
US1CASD0059,33.1474,-117.0656,223.7
US1CASD0060,32.8428,-117.2208,86.6
US1CASD0063,33.0563,-116.9925,483.1
US1CASD0074,33.0139,-117.1062,209.4
US1CASD0076,33.2499,-117.2559,57.6
US1CASF0004,37.7650,-122.4348,59.1
US1CASF0017,37.7590,-122.3975,65.5
US1CASH0006,40.5239,-121.7957,1208.2
US1CASH0010,40.6721,-122.2913,207.6
US1CASH0011,40.6261,-122.3585,188.4
US1CASH0018,40.6235,-122.3536,184.1
US1CASH0030,40.4785,-122.2606,124.7
US1CASH0051,40.5181,-122.3692,135.3
US1CASH0056,40.6024,-122.4007,201.5
US1CASH0057,40.3777,-122.3392,140.2
US1CASJ0001,38.0627,-121.0079,44.5
US1CASJ0004,38.0381,-121.2547,10.7
US1CASJ0005,38.1360,-121.3044,13.1
US1CASK0003,41.4949,-122.3697,933.9
US1CASK0004,41.5108,-122.9234,904.0
US1CASK0005,41.7326,-122.6495,820.5
US1CASK0009,41.2688,-123.3336,507.2
US1CASL0008,35.3295,-120.8324,23.5
US1CASL0010,35.5034,-120.7376,427.6
US1CASM0001,37.6121,-122.4825,69.2
US1CASM0005,37.4766,-122.1870,7.6
US1CASM0006,37.5488,-122.2587,2.1
US1CASM0007,37.4630,-122.4408,16.5
US1CASM0009,37.3819,-122.1976,161.8
US1CASM0013,37.5842,-122.3976,136.2
US1CASM0022,37.3754,-122.2637,485.2
US1CASN0006,38.4514,-122.7577,32.6
US1CASN0013,38.4323,-122.7455,37.5
US1CASN0021,38.5551,-122.8227,37.5
US1CASN0029,38.7810,-122.9630,242.9
US1CASN0039,38.2334,-122.6563,47.9
US1CASN0042,38.4713,-122.6552,89.0
US1CASN0049,38.3842,-122.8191,51.2
US1CASN0050,38.5617,-122.8055,47.2
US1CASN0061,38.4640,-122.7150,52.7
